Unnamed: 0,reviewerName,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,overall
1799,Giancarlo Arriola,"im currently using it for my nokia lumia 810 and my camera, works very well and very fast! but expensiveEdit: I was really happy with the card until I had to record video on it. It seems that it doesnt write fast and my recordings end up being choppy and unwatchable. I was really disappointed in it, cuz I had to switch back to my phone's storage when recording video.",2013-01-22,685,0,0,0,0,0.0,0.0,3.0
2987,"Mark Montgomery ""Mark""","Used this micro sd card in my Samsung Galaxy Tab 2.  Was watching a video stored on the card while ago when the video quit playing, and the message &#34;Sorry, this file cannot be played&#34; appeared on the screen.  Checked ES File Explorer and found that all the apps, movies, music, etc. I had stored on the micro sd card were gone.  The card was apparently totally blank.  Inserted the card in my desktop computer, and the computer said that the card had to be reformatted before it could be used.  Tried to reformat it to NTFS, ex-fat, and fat32. Each time the computer said it was unable to complete operation.  Guess this card is dead after a little over 4 months....",2013-09-02,462,1,0,1,1,1.0,0.2065493143772374,1.0
843,Carlos,"It may be that the internal SD slot of the 2012 Mac Book Air is not too fast perhaps?  I am very disappointed that I can only achieve 4-9 MB/s of write/read speed.  Makes me remember speeds of 5 years ago.  Again, this may be the computer's fault, but I am not too happy...",2012-08-16,844,1,1,2,0,0.5,0.0945312057342307,3.0
1910,H. Al-Harethi,"I purchased this card on a daily lighting deal for my new Samsung Galaxy Note II. It was recognized without issues. I connected it with its adapter to my computer's card reader to transfer about 3Gb of data and the best consistent transfer rate (average) was roughly 13Mbps... That's less than %50 of the advertised transfer rate.To be fair, I've used the same external card reader with my Sony HX100 digital camera with an SD card (16Gb class 10) and I get double the transfer rate of what I've gotten for this card.Here is the setup:1- SD Adapter included with this card.2- External 12-in-1 USB 2.0 card reader connected to a USB 2.0 port on my PC3- Files transferred were of varying sizes.4- Transferred from 2TB Seagate X2 SATA3 HDD (connected to SATA2 port)5- Windows 8 Enterprise x64 (oh yah baby)The only excuse I give this card for its bad performance is the files were relatively small sizes but some of them were as large as 50Mb... This still does not justify the very low transfer rate.I am not really picky because this card will reside inside my super phone but still it does not justify the money paid for this card.I hope this will help others.",2012-10-31,768,5,2,7,3,0.7142857142857143,0.3589344518326193,3.0
3084,McDade TX,"Got this for my Samsung 3.  After 4 months, was no longer accessible - first message I got on the phone was that there was an unformatted Sd card installed.  Next, it wouldn't even recognize the card was in there.  I inserted a different card, and the phone was able to recognize it and play music off it - - so, not the phone.  I also tried having my desktop read the card - - no go there either....",2013-04-17,600,0,0,0,0,0.0,0.0,1.0
2270,jerzy p.,Quickly went bad. I used it for maybe 2 weeks. Better keep your receipt. Too bad i didn't.Bad deal. period.,2013-07-26,500,0,0,0,0,0.0,0.0,3.0
3882,"Robert Buckley ""Twobucks""","Have only transfered some pictures and music so far. My S3  Galazy had no problems recognizing the card...hear a lot of rumors about memory cards not working, having to format first, etc., but this one worked from me right out of the box.The included Adapter is also good when I want to use with my computer(s) for slide shows since MicroSDHC are not supported by many if any..just to small.",2013-02-16,660,0,0,0,0,0.0,0.0,3.0
3646,P. Karl,"Bought this to use in my Samsung SIII as it was supposed to be a fast card. Worked fine until it totally died after less than a year of very little us due to the design of the SIII. Phone popped up a message that the SD card had been removed (it hadn't). Nothing I did to the phone brought the card back up. Removed it and tried it in my laptop (Win7) and other computer (XP Pro) and it is totally dead, neither will even recognize its in the drive. Working with Sandisk to get a replacement, they want all kinds of fairly useless information, will see if I get an RMA number and replacement card.This is the first memory card I have ever had fail.As an update, warranty service from Sandisk has proven to be non-existent. They first asked to have over 16 questions answered, then mysteriously lost all the answers I sent back, three times.",2013-07-19,507,0,0,0,0,0.0,0.0,2.0
1131,"Daniel Fries ""Daniel Fries""",Got this product and it was fine until it just stopped working...The last one I had that came with my DROID X on release day worked for the whole time since I got it without a hitch...I get this one and it's dead in less than 60 days...I don't know if I got a lemon myself or the whole supply is bad or faulty... All I have to say is I am very displeased!,2012-12-25,713,0,1,1,-1,0.0,0.0,1.0
1860,Greg,after 4 months it stopped working i got a new one form SanDisk but I'm very apprehensive to put it on my phone.,2014-06-30,161,0,0,0,0,0.0,0.0,1.0
150,A. Liu,Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,2014-02-05,306,0,0,0,0,0.0,0.0,2.0
1791,G. Evans,"I didn't  even have this card installed in my Motorola  Razor HD for 6 months when I turned my phone on yesterday and got a message stating I removed my card before properly unmounting it first even though it was still installed. I plugged it into my PC adapter and nothing! I lost about 300 documents and over 500 pictures, but i'm glad that I just backed up everything 2 weeks ago. Worked great until it died far to soon and without any warning at all. Be sure to backup all your important data frequently!",2013-03-23,625,4,1,5,3,0.8,0.3755346297625253,1.0
4184,Shelly-Ann,"I feel a little cheated, they state that this is the best for android phone yet it failed. I never even removed.i have had other memory cards last me years upon years.  Have to look for another one so disappointed. The phone moved smoother but not sure it is worth it",2013-02-22,654,0,0,0,0,0.0,0.0,3.0
3233,Mindbreak,"My Droid Razr runs a little slow, is it because of this card?  I can't be sure.  What I am sure about is I put this card into my GoPro Hero 3 Black Edition and the video I record comes out choppy.  So I bought the SanDisk Extreme Pro 16GB version of this card, and the GoPro works fine now.  SanDisk is normally very good, so perhaps I somehow got a bad Ultra card.  I never returned or exchanged it because the warranty had expired before I tried it in my GoPro and knew for sure the card was slow.  The SanDisk Ultra should work in the GoPro Hero 3 according to the GoPro website, so again, perhaps I just got a subpar card...",2013-06-01,555,0,0,0,0,0.0,0.0,3.0
2849,linuxpng,Unmounts randomly in mu surface pro 2.  Seems to mostly be centered around write operations.  Trying the samsung version which is sadly much more money.,2013-12-29,344,0,1,1,-1,0.0,0.0,1.0
2288,J. Gauntlett,The card worked great at first. I've never had a problem with Sandisk in the past but I bought this card for my Galaxy S3 back in October and it was dead by December. I'm sorely disappointed by this purchase. Maybe it's just a faulty card but my experience was terrible so this gets one star.,2013-12-01,372,0,1,1,-1,0.0,0.0,1.0
537,baseballguy7,Stopped working and could not reformat.  Didn't have good luck with this item or the vendor selling this item.  Hopefully just a bad one...sandisk is usually pretty good,2012-10-10,789,0,0,0,0,0.0,0.0,2.0
491,A Student,"This card was used in a phone without a large amount of write stress (which does shorten the life of the card - it was not written to over and over in the phone).The card is now totally unwriteable - on a Mac, a Linux machine, or the phone - writes all ""seem"" to succeed but even low-level reformats don't actually *do* anything - the exact same files are there after every change, untouchable and frozen forever.10 months of use out of a memory card and then a really weird failure like this (neither the Mac, Linux machine, or phone reports any error) is not acceptable quality from SanDisk.",2013-10-11,423,1,0,1,1,1.0,0.2065493143772374,1.0
1188,"Dave & Dessa ""Addictive""",Doesn't work in my s2 skyrocket but works in my Xoom. Odd but I have to suffer with it. Seems about the same as my class 4. Will not get sandisk again unless its tons cheaper. 1 was stolen by some tweakers which sucks,2014-07-07,154,0,0,0,0,0.0,0.0,3.0
398,Andrew M. Swiatek,the micro sd works great as described. but beware that the micro sd adapters are faulty. the micro sd will get stuck in the adapter. you will have to carefully rip apart the adapter to get the micro sd out thus damaging the apapter.,2013-06-29,527,0,0,0,0,0.0,0.0,3.0
1856,Graycloud Rios,dont even bother to try - will not show up in finder and will not show up if placed on any reader,2013-03-23,625,0,1,1,-1,0.0,0.0,1.0
3594,Person365,"I put this NEW sd card in my NEW GS4 for the first time, and now the metal contacts are scratched and it randomly unmounts from the phone!  My older 32GB SanDisk works just fine, so I'm thinking its the thicker paint or something causing this...  I don't know, but its ruined!  It scratched the first day, but I'm just now noticing the unmounts now that I have my music on it, every few songs it will unmount and remount, interupting my music...  I'll never buy another expensive SanDisk.  I'm going to order a different brand, just make sure I can find one without paint on it....  Sucks, I really thought this was going to be a good one!  I love the colors, and its so fast to transfer files to.... too bad its broken.  And I didn't find out about it until after the return date, so i'm screwed.  Oh well.  Never again, I'll give my business to someone else....",2013-02-07,669,0,0,0,0,0.0,0.0,1.0
4527,Thor Sparks,Worked once I was able to find a system to format it.Second card from SanDisk that was sent to me unformatted.They need to get their act together...,2013-02-24,652,0,0,0,0,0.0,0.0,2.0
798,"bwResponder ""txzz3""","I purchased a 64Gb Samsung SD card to expand the memory of the phone.However, I frequently get a message that the card has been removed or is recovering.Sometimes the problem clears itself, other times I have to reboot the phone.It also says ""MTP application will restart to prepare SD Card"". It then starts listing the restarting/recovering SD card.I eventually replaced it with a Sandisk 16gb microsd ""HD"" card from Walmart and it is operating fine.I have been reading a lot about people having issues with the 64gb sandisk cards and the Galaxy S4.I wish I had done more research before wasting $50 on what I thought was a good buy!",2013-07-20,506,0,0,0,0,0.0,0.0,1.0
4104,Scubanut,"It isn't as fast as the class10 I used before, and the file structure only allows 29.7G free to put data on.  I can see SOME loss, but I'm very displeased with losing over 2G of space!  That's a big waste percentage.",2014-04-03,249,0,0,0,0,0.0,0.0,3.0
2456,Jonathan,"This is the second SanDisk micro SD that I've had to return due to some sort of error.  I am thinking I just have bad luck and hopefully 3rd time is the charm.During the time it was working properly, it seemed to be quick.",2013-02-25,651,0,0,0,0,0.0,0.0,3.0
4050,"sandawana56 ""sandawana56""","This review is for the SanDisk Ultra 32 GB MicroSDHC Class 10 UHS-1 Memory Card with Adapter (SDSDQU-032G-AFFP-A) that was purchased for me from Amazon.FRUSTRATING in a word. This card was reported by two different Android phones as damaged but my Windows computer recognized it with no issues. If the card had nothing on it or had just been reformatted then the phones recognized it but as soon as data, music or pictures were added then the phones reported the card as damaged. I had this card returned to Amazon after 3 days of sheer frustration.I read another review that suggested the Class 10 cards were not ideal for smart phones. I was already using a Sandisk Class 4 16GB card in another phone and had never had issues so I purchased a Class 4 Sandisk 32GB and it was as smooth as butter. Both phones recognized the card right away and added data, music and pictures seamlessly and quickly. The second card purchased was the SanDisk microSDHC 32GB Flash Memory Card, Black, SDSDQM-032G-B35 (Retail Packaging).In summary this card may work just fine for other devices but based on the sheer number of other reviewers (here on Amazon and elsewhere on the internet) that had similar issues with smartphones I cannot recommend this card for a smartphone.",2012-08-12,848,0,1,1,-1,0.0,0.0,1.0
2988,Mark M Tarquini,"It worked great in my Samsung Galaxy S3, and then failed after 3 months.  Have tried contacting Samsung via their warranty form on their website and I am not having any luck.  I gave up and bought a different 32GB card from NewEgg.com hopefully that one lasts longer.",2012-10-30,769,4,1,5,3,0.8,0.3755346297625253,1.0
1973,"Herbert York ""atwb""",Piece of crap died two months after I bought itI am sure that makes it on me to buy anotherGREAT!,2013-06-15,541,0,2,2,-2,0.0,0.0,1.0
2978,Mark,"It does what it says it will do - unlike most people I know.It also handles very cold temperatures well, too.",2013-12-14,359,0,0,0,0,0.0,0.0,3.0
593,bgcam,I was better off with my 32gig card.  This thing was nothing but problems.  The phone does not see it half the time and it is SLOW.  The phone keeps asking to Re- format it.  I got it to see the card after a reboot.  It is still SLOW.I will be buying the Samsung 64gig card for my Samsung Galaxy Note 1.  I have seen good things from Samsung.,2013-04-24,593,0,0,0,0,0.0,0.0,1.0
3598,Pete,"Got this to use with my GoPro Hero 3 black edition. Put it in, seemed to work. tried to get the data from the card after using it for a second and the card says it needs to be formatted.Looked to gopro's website and it is NOT on their recommended card list. Reason being is that the card isn't fast enough. It's a class ten yes but clearly not fast enough.Definitely get the recommended card, IF it does work at first it will probably die in a couple of days.",2013-08-23,472,1,1,2,0,0.5,0.0945312057342307,1.0
1963,"Henree Garcia ""HG""","First, it kept unmounting on the Galaxy Note 10.1I got it replaced.I used the replacement on my Galaxy S4 and it heats up my phone when charging. IT GETS VERY HOT. GS4 does not get hot with other sd cards. awaiting my second replacement.",2013-02-08,668,0,0,0,0,0.0,0.0,1.0
3482,"Occasional Reviewer from Michigan ""Mark""","It appears that the 32GB SanDisk Ultra Micro SD Card I purchased from Amazon was defective.  I installed it in my Samsung Tablet, but could not successfully transfer files using either a USB cable or WiFi.  The file transfer would appear to start, but then would slow down and hang completely.  It did this on every one of multiple attempts, with different file types, and numbers of files ranging from many to just a single file.  I tried loading files onto the card directly from my PC, but then the Tablet would not see them.  I tried reformatting the card both in my PC and in the Tablet, but still got the same result.  After a few tries, the Tablet would appear to format the card but then tell me that the card was blank/unformatted.  I did an A/B/A with an old 8GB Sandisk Micro SD Card that I had laying around.  It worked perfectly -- formating, transferring files, reading and writing files -- everthing worked.  I put the 32GB SanDisk Ultra Card back in the Tablet, but had the same problems again.  I concluded that the SanDisk Ultra card was defective and returned it.  I'm still using the old 8GB card without a hiccup.The good thing was that Amazon's return policy was quick and painless.",2013-03-23,625,0,0,0,0,0.0,0.0,1.0
288,Amazon Customer,Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,2014-02-07,304,0,0,0,0,0.0,0.0,1.0
1323,D. Evans,I have lost my data 3 times with this card. I don't know if it's the card or the S3. My data always ends up as unrecoverable pieces in the LOST.DIR directory the phone creates the first time you insert the card. I don't trust it to hold anything I cant afford to loose.Update: I purchased aKingston Digital 32 GB microSDHC Flash Memory Card SDC4/32GBlast week as a replacement. It hasn't lost any data yet. I'll update here again if it has the same issue.Update 2: TheKingston Digital 32 GB microSDHC Flash Memory Card SDC4/32GBhas been in my phone for 2 months with no data loss. It is the better product.,2013-03-06,642,1,0,1,1,1.0,0.2065493143772374,1.0
