overall,reviewText
3.0,This demn tablet is just a Real Chinese product. The demn camera does not knows it's function. in fact this is third China good. Demn s***
3.0,"performs as expected for a generic controll and for the cheap price. when used in games such as super smash bros, you'll encounter big difference with the originals if playing at a relative competitive manner. but gets the job done for casual play"
3.0,Bought it for someone. It looked okay. Cant comment on its functionality as I am not the one using it.
3.0,"Buggy with Window 8.  PC fails to recognize the unit.  Also, software from Netgear took a long time to install.<br />I'm back to using my old 2Wire/Panda model."
3.0,"I am having some problems with this Kindle.  It's freezing up ever so often and I just have to turn it completely off, wait a while before turning it back on and then it will work for a while longer.  May have to send it back...."
3.0,Its ok!
3.0,Does not hold (grip) Kindle like a previously purchased.
3.0,"I live in a small house with few walls. Signal is strong in 2.4 but weak on 5ghz, behind a single wall (2-3 bars of 5). I am a gamer an i was surprised by the lack of any QOS rules or setting on the firmare and it cant be replaced with ddwrt. i am thinking on purchase another brand."
3.0,perfect!!!
3.0,"Speed, graphics are great. Lightweight and thin. The only problem is that the keyboard is different that what was advertised. It has many extra keys. The product picture was of the computer with a standard keyboard.<br />If the laptop was shipped as advertised it would be 5 star. I am surprised at Amazon for misrepresenting the item."
3.0,It is okay on my Asus Chromebook.  My biggest complaint is that the two devises seem to loose their connection and I wind up banging to mouse to get them to reconnect.  Honestly I can't tell who is the culprit.
3.0,"Although the description says it must be wired to the same circuit as the modem, but on a separate outlet, other notes say you can plug it in anywhere in the home. (With a 100-Amp service and some 30 circuit breakers, try finding the right one!). In short, I never got it to hook up."
3.0,"This hub is half-useful. It seems that if there are 4 USBs hooked up, two of them don't work. So really I am just using it for two extra ports."
3.0,It met my expectations.
3.0,Air is heavy with case on
3.0,"Does what it says, although I find it a bit clumsy and difficult to type (right hand) as i have to stretch my right hand thumb. Would have preferred to get a keyboard with the touch pad in the center instead of to one side."
3.0,"Yes, it's a great aid to protect your surface and reduce wear on pen nibs, and its a great surface cover. However, it gets rid of the &#34;feel&#34; from using the actual tablet itself. I say this because the cover makes the drawing surface a lot slippery with no control. This can affect the way you use this tablet. So keep this in mind, for those of you who likes the feel of the original tablet surface!"
