overall,reviewText
5.0,"I got my memory card here instead of on the gopro site and saved some money. Its the same card and it works awesome. This card is about 7 hours of 720 @30 frames per second, or about 4 hours of 720@60 frames or 1080 @30 frames. In a gopro, you will be burning through batteries way before you could ever fill these cards. I prefer more, smaller cards. If a card dies, it is less of a catastrophe and you also dont pay that premium for the larger cards. However, If I do a LONG time lapse with a battery source, having a large card is nice to have."
1.0,"This power adapter does not meet Apple standards; when you plug in your MacBook the power surge causes the the track pad to malfunction (though there seems to be no permanent damage; MacBook works normally again when unplugged). See the fifth bullet point in this article: https://support.apple.com/en-us/HT203171  Moreover, the seller was unresponsive to my request for a replacement/refund. Bad product, non-existent customer service. Don't buy this."
1.0,"I bought this Portable DVD Writer which is supposed to be compatible with Windows 8 in May 2015.  I can get it to work just fine with Windows 7 but for some reason, it won't work with Windows 8 to download music from CD's into iTunes.  If you advertise that it is supposed to be Windows 8 compatible it should work with Windows 8.  I even downloaded the latest hardware version from Samsung but still can't get it to work.  I recommend you look elsewhere for a DVD Writer/Reader based on my experience."
2.0,I charged this tablet to 100% but then only get like 1 hour of battery life before it goes dead. The specs said 6 hours of battery life.
4.0,The adapter words good.
1.0,disconnects every 10 or so minutes.  worked well for a month or two.  now i have to buy a new keyboard :(
3.0,"No works with toshiba satellite s55t-b model. Not covers the entire screen size, only covers the viewable area."
1.0,"I bought this card on the strength of the 64GB XDSC SanDisk in my phone right now.  It was a gift for a friend of mine and sadly it corrupted within minutes of first use.Initially it worked fine, then dead.  We checked in a laptop and Windows Disk Management screen told me it had a single 128K partition and the rest was unusable.  Outstanding.The replacement sent by Amazon (Thank you Amazon, you are always excellent) is sitting in my office right now, I should probably check it out."
1.0,keyboard didn't work.  Returned it.
3.0,"Actually the item probably worked better than I'm giving it credit for, but, not being a Bluetooth guy, the instructions could use a little work.  Once I got it up and running, everything was great.  I have a keyboard for my Kindle and I still use the screen as my mouse."
3.0,It worked with no problems for a year and yesterday it stopped working.  It was able to connect to the cable company but unable to connect to the modem over ethernet.  I got another cable modem to make sure that it was the modem and the other modem worked fine.
4.0,Works better than expected
1.0,Recieved a MiniUSB adapter instead of a MicroUSB adapter. Wrong item in packages.
5.0,"Bought this for my sons tablet, and it works fine. Sandisk has always been the leader in these flash memory cards, and has always been well worth the money."
3.0,Several problems with this unit. In terms of overall performance it works just good.<br />Touch pad just got broken few months after I bought it. Charger AC cable also got damaged within few days after bought.<br />2 (out of 3) USB ports also gave massive problems while one doesn't work at all the another work at random times.<br />One of the hinge protector got loose finally got removed from it's original position and once it fall from it's bay never fit back. This make the cover close unpaired and display gets a strange way to fit with when closed and open positions.<br />Still LOVE this pc. With all these loses is a great computer.
1.0,The damn thing died.  It died in like 2 weeks.  The replacement died just as fast.  This is bad and Sony should feel bad.
1.0,My son has had this headset for about a month and they broke. Very disappointed.
2.0,Very difficult to install!
1.0,"This is the worst computer I have ever used. I would give it zero stars if that were an option. I purchased the laptop at Frys, the Internet Explorer and WiFi didn't work so I returned it within one week. The techs there were not able to fix it and gave me a new one. The new one is also not working properly. The Internet Explorer and wifi also do not work. I contacted Frys who refused to replace it and told me to contact Acer directly. I contacted Acer requesting a refund. They refused to do so. I was on the phone for 1 hour with them, got terrible customer service and no resolution. They told me to mail in my laptop at my own expense. I am an independent contractor and need my laptop to work. I told the customer service rep this and she told me to borrow a family member's computer. This is not a solution. The end result: I have to mail in the laptop, wait for them to look at it and try to repair it. Since Frys was unable to fix the first lemon, I doubt they will be able to fix this one. I wasted $1400, not including the software I purchased for the laptop."
5.0,"Works well in my Galaxy Note II.  I've bought many Sandisk memory cards and never experienced a failure, even the 256MB SD card purchased for a Palm Pilot still works."
